code,subplot,treatment
ALR,1,c
APA,1,b
APA,1,c
AWP,1,b
BGP,1,c
BGR,1,b
BGS,1,b
BRL,1,c
BWA,1,c
BZW,1,b
BZW,2,b
BZW,1,c
BZW,2,c
CDA,1,c
CDB,1,b
CJL,1,b
CJL,1,c
CLA,1,b
CLB,1,b
CRH,1,c
CSA,1,b
DCB,1,b
DMK,1,b
DMP,1,c
DTN,1,b
DVH,1,b
DVH,2,b
DVH,2,c
EDF,1,b
EDF,2,b
EDF,1,c
EDF,2,c
EGQ,1,b
EGQ,1,c
ELP,1,b
ELP,2,b
ELP,1,c
ELP,2,c
EPZ,1,b
EPZ,1,c
EWX,2,b
EWX,2,c
EZV,1,b
EZV,2,b
EZV,1,c
EZV,2,c
FDZ,1,b
FDZ,1,c
FWE,1,b
FWE,2,b
FWE,1,c
FWE,2,c
GHI,1,b
GHI,1,c
GPM,2,b
GZS,2,b
HFE,2,b
HFE,1,c
HHA,1,b
HLD,1,c
HLQ,1,b
HNZ,1,b
HNZ,2,b
HNZ,1,c
HNZ,2,c
IFC,1,b
IFC,2,b
IFC,1,c
IFJ,1,c
IMT,1,b
IMT,2,b
IMT,2,c
IUL,1,b
IUL,1,c
IVU,1,b
IVU,2,b
IVU,1,c
IVU,2,c
IWI,1,b
IWI,1,c
IWI,2,c
JLO,1,b
JLO,1,c
JYY,2,b
JYY,2,c
KCW,1,b
KIZ,1,b
KIZ,2,b
KIZ,2,c
KLU,1,b
KLU,1,c
KTB,1,c
KTD,1,b
LKB,1,b
LKB,2,b
LKB,1,c
LKB,2,c
LNE,2,c
LRH,1,b
LRH,2,b
LRH,1,c
LRH,2,c
LZU,1,b
LZU,2,b
LZU,1,c
LZU,2,c
MJI,1,b
MJI,2,b
MJI,1,c
MJI,2,c
MJZ,1,b
MJZ,1,c
MKD,1,c
MME,1,b
MME,1,c
MPD,1,c
MVP,1,c
MZU,2,b
MZU,2,c
NOY,1,b
NOY,2,b
NOY,1,c
NOY,2,c
NSL,1,c
NTK,2,b
NUR,1,b
NUR,2,b
NUR,1,c
NUR,2,c
NVC,2,b
NVC,1,c
NVC,2,c
NWE,2,b
NWE,2,c
OEX,1,b
OEX,2,b
OEX,1,c
OEX,2,c
OJW,1,b
OJW,2,b
OJW,1,c
OJW,2,c
PBM,1,b
PBM,1,c
PID,1,b
PID,1,c
PID,2,c
PKY,2,b
PKY,1,c
PKY,2,c
POG,1,b
POG,2,b
POG,1,c
POG,2,c
PQT,1,b
PQT,1,c
PRH,1,b
PRH,2,b
PRH,1,c
PRH,2,c
PXM,1,b
PXM,1,c
QAS,1,c
QBH,1,b
QBH,2,b
QBH,1,c
QBH,2,c
QHS,1,c
QLR,2,b
QLR,1,c
QLR,2,c
QZT,1,b
QZT,2,b
QZT,1,c
QZT,2,c
RAL,1,c
RHL,1,b
RHL,2,b
RHL,1,c
RHL,2,c
RQB,1,b
RQB,2,b
RQB,1,c
RQB,2,c
SGK,1,c
SHX,1,b
SHX,2,b
SHX,1,c
SHX,2,c
SJC,1,c
SOS,2,b
SOS,1,c
SOS,2,c
SOV,1,b
SRA,1,b
SRT,2,b
SXN,1,b
TCA,1,b
TCD,1,b
TCD,1,c
TLF,1,b
TLF,2,b
TLF,1,c
TLF,2,c
TOX,2,b
TOX,2,c
TSN,1,b
TSN,2,b
TSN,1,c
TSN,2,c
UAN,1,b
UAN,2,b
UAN,1,c
UCT,2,b
UCT,1,c
UCT,2,c
UFH,1,b
UFH,2,b
UFH,1,c
UFH,2,c
UHC,1,b
UHC,2,b
UHC,1,c
UHC,2,c
UPB,1,b
UPB,1,c
URF,2,b
URF,1,c
URF,2,c
VMF,1,b
VMF,2,b
VMF,2,c
VOP,1,b
VOP,2,b
VOP,1,c
VOP,2,c
WPQ,1,b
WPQ,1,c
WPQ,2,c
XBM,1,b
XBM,2,b
XBM,1,c
XBM,2,c
XJJ,1,b
XJJ,1,c
XLS,1,b
XLS,2,b
XLS,1,c
XLS,2,c
XNM,2,b
XNM,1,c
XNM,2,c
XWI,1,b
XWI,2,b
XWI,1,c
XWI,2,c
XXC,1,b
XXC,1,c
XZU,1,b
XZU,1,c
XZU,2,c
XZY,1,b
XZY,2,b
XZY,1,c
XZY,2,c
YAT,1,b
YAT,2,b
YAT,1,c
YAT,2,c
YBW,1,b
YBW,1,c
YRV,2,b
YRV,2,c
ZEQ,1,c
ZGT,1,b
ZGT,2,b
ZGT,2,c
ZMK,1,b
ZMK,2,b
ZMK,1,c
ZMK,2,c
ZTC,2,b
ZTC,1,c
ZXC,1,b
ZXC,1,c
